DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\excel\_xlrd.py first seen with mtime 1732533727.5164745
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth1\__init__.py first seen with mtime 1741160244.5965247
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\abc.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1739180166.8329725
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\response.py first seen with mtime 1739180167.0544384
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\worksheet\print_settings.py first seen with mtime 1740395923.073255
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\reshape\__init__.py first seen with mtime 1732533727.4376392
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\chartsheet\properties.py first seen with mtime 1740395922.9551299
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\base.py first seen with mtime 1739180167.0708332
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\mysql\operations.py first seen with mtime 1739180166.814058
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\comments\shape_writer.py first seen with mtime 1740395922.9631631
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\arrays\datetimes.py first seen with mtime 1732533727.2490711
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\signals.py first seen with mtime 1739180166.7376344
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyparsing\helpers.py first seen with mtime 1741160243.3309484
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth2\rfc6749\endpoints\base.py first seen with mtime 1741160244.6432805
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_libs\tslibs\timestamps.cp312-win_amd64.pyd first seen with mtime 1732533729.6507635
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\_internal_utils.py first seen with mtime 1739175827.039656
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1739180166.5831935
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\base.py first seen with mtime 1739437282.1555934
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\html.py first seen with mtime 1739180167.0905466
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1739180166.8702385
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\DLLs\_overlapped.pyd first seen with mtime 1722958396.0
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\MySQLdb\constants\FLAG.py first seen with mtime 1738596136.3297412
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\gspread\exceptions.py first seen with mtime 1741160253.5718305
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth1\rfc5849\endpoints\signature_only.py first seen with mtime 1741160244.617532
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\certifi\__init__.py first seen with mtime 1739175826.9493592
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\arrays\period.py first seen with mtime 1732533727.264938
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1739180166.7941525
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\settings.py first seen with mtime 1735542824.1421933
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1739180166.429628
